"","OMIC.ID","pval","beta","pvalBH","TRAP","OMIC_level","up_or_down_regulated"
"1","A_23_P77731",0,-0.0147,0.023,"PM10","mRNA","down"
"2","A_23_P77731",0,-0.0173,0.004,"PM25","mRNA","down"
"3","hsa.miR.150.5p",1e-05,-0.01144,0.00296,"NO2","miRNA","down"
"4","hsa.miR.29a.3p",0.00068,-0.00864,0.04708,"NO2","miRNA","down"
"5","hsa.miR.29b.1.5p",0.00046,-0.00994,0.04708,"NO2","miRNA","down"
"6","hsa.miR.340.3p",0.00069,-0.00872,0.04708,"NO2","miRNA","down"
"7","hsa.miR.3679.5p",7e-04,0.00864,0.04708,"NO2","miRNA","up"
"8","hsa.miR.6126",0.00077,0.0103,0.04708,"NO2","miRNA","up"
"9","X1014.6642.6.9277897",3e-04,-0.0075,0.022,"NO2","metabolite","down"
"10","X1017.6263.7.0031424",6e-04,-0.0064,0.034,"NO2","metabolite","down"
"11","X102.0467.2.046496",0,-0.0079,0.002,"NO2","metabolite","down"
"12","X102.0469.2.045386",0,-0.0078,0.003,"NO2","metabolite","down"
"13","X1022.1256.7.002774",0.0012,-0.0059,0.049,"NO2","metabolite","down"
"14","X1022.6272.7.0026736",4e-04,-0.0061,0.025,"NO2","metabolite","down"
"15","X1030.123.6.9996977",1e-04,-0.0078,0.014,"NO2","metabolite","down"
"16","X1031.6313.7.000908",9e-04,-0.0056,0.043,"NO2","metabolite","down"
"17","X1034.1202.7.0003247",0.0011,-0.0058,0.048,"NO2","metabolite","down"
"18","X1036.8184.7.4444265",1e-04,0.0123,0.01,"NO2","metabolite","up"
"19","X1052.6132.7.0004582",2e-04,-0.006,0.019,"NO2","metabolite","down"
"20","X1052.7924.7.4427056",6e-04,0.0097,0.034,"NO2","metabolite","up"
"21","X1055.6346.7.000831",3e-04,-0.0064,0.023,"NO2","metabolite","down"
"22","X1055.7946.7.4403763",3e-04,0.0103,0.022,"NO2","metabolite","up"
"23","X1112.5739.7.0058985",9e-04,-0.0077,0.042,"NO2","metabolite","down"
"24","X119.0736.2.0465102",0,-0.0042,0.007,"NO2","metabolite","down"
"25","X119.0738.2.0438619",1e-04,-0.0061,0.009,"NO2","metabolite","down"
"26","X121.0497.2.1118877",0.0012,0.006,0.049,"NO2","metabolite","up"
"27","X134.0727.2.0469444",0,-0.0073,0.003,"NO2","metabolite","down"
"28","X136.0497.2.3336642",3e-04,-0.011,0.021,"NO2","metabolite","down"
"29","X159.1263.3.5058985",1e-04,-0.004,0.015,"NO2","metabolite","down"
